,tipo,descricao,likes,comentarios,shortcode,id,time,hora,dia,semana,inter
0,Vídeo,"VOCÊS ACREDITAM?! 😱🎥
(vídeo: reprodução internet / instagram)",56730,1197,Ckt6mE8sJJo,2967285432857956968,2022-11-08 19:53:58,19,2022-11-08,1,57927
1,Imagem,"ELE MERECE! 📸😍
(imagem: reprodução internet / instagram)",79698,864,Ckt0d08O6gp,2967258477635545129,2022-11-08 18:59:56,18,2022-11-08,1,80562
2,Imagem,"JÁ ASSISTIRAM?! 📸🤩
(imagem: reprodução internet / instagram)",183687,2611,CktwUdCODKP,2967240241304842895,2022-11-08 18:23:42,18,2022-11-08,1,186298
3,Vídeo,"MEU DEUS! 😭🎥
(vídeo: reprodução internet / instagram)",286191,3595,CktqVCdttd5,2967213893215508345,2022-11-08 17:31:45,17,2022-11-08,1,289786
4,Imagem,"Em entrevista ao ‘Drew Barrymore TV’, Millie Bobby Brown revelou seu interesse em interpretar Britney Spears em uma cinebiografia: ""Eu acho que a história dela ressoa comigo, por crescer no meio do olhar público. Eu sinto que eu poderia contar a história dela do jeito certo”. E AÍ, VCS QUEREM?! 📸😍",79069,266,CktnQR-Ob-i,2967200372130168738,2022-11-08 17:04:30,17,2022-11-08,1,79335
5,Vídeo,"Lava, lava, lava toda essa energia ruim! O ex-jogador Cafu criou um ritual para atrair sorte e tirar toda a zica da sua peça da sorte junto com OMO. Já deu a dica para os torcedores. Tá esperando o que para tirar a sua zica? #LavaAZica #publicidade AMEI GENTE! 😍🎬",28683,119,Cktk5ATP1i0,2967189976514517172,2022-11-08 16:44:22,16,2022-11-08,1,28802
6,Imagem,"QUAL GENTE?! 📸😍
(imagem: reprodução internet / instagram)",39831,1845,CkteHFEudt0,2967160157386693492,2022-11-08 15:44:36,15,2022-11-08,1,41676
7,Imagem,"O rapper Snoop Dogg, postou um vídeo em sua rede social, no qual ele negou o que a sua boladora disse, que ele fuma 150 base4d0s por dia: “A mina disse que eu fumo 500 gramas. Pare de mentir”. MORTAAA! 📸😂",157644,811,CktXoKauYfZ,2967131644541634521,2022-11-08 14:47:57,14,2022-11-08,1,158455
8,Imagem,"O ator José Loreto, vai interpretar um cantor pop decadente em “Vai na fé”, próxima novela das 7 da Globo, para atrair o público cristão. Para isso, ele admitiu que tem se inspirado em artistas como o cantor Latino para dar vida ao papel. O QUE ACHARAM?! 📸🤔",133808,3591,CktUg1uusK_,2967117947152810687,2022-11-08 14:20:44,14,2022-11-08,1,137399
9,Imagem,"Com fama de acertar torneios, a ‘EA Sports’ prevê que a Argentina será a campeã da Copa do Mundo no Catar em uma final contra o Brasil. A desenvolvedora previu corretamente os três últimos vencedores do torneio. SERÁ GENTE?! 📸🤔",198309,4031,CktSRY-uk8C,2967108089397530370,2022-11-08 14:01:09,14,2022-11-08,1,202340
10,Imagem,"JÁ ASSISTIRAM?! 📸😍
(imagem: reprodução internet / instagram)",222424,3834,CktPH3xOV6f,2967094241122672287,2022-11-08 13:33:38,13,2022-11-08,1,226258
11,Imagem,"Antes da convocação do técnico Tite, a assessoria da CBF informou que exibiria um vídeo: tratava-se de uma peça publicitária para promover a camisa da seleção brasileira. É uma iniciativa para tentar dissociar o uniforme do time nacional de política, já que foram usados largamente como símbolo pelos apoiadores do presidente República, Jair Bolsonaro. O QUE ACHARAM?! 📸🇧🇷",213154,7038,CktMSr3uNzW,2967081790121499862,2022-11-08 13:08:54,13,2022-11-08,1,220192
12,Imagem,Eita gente! Os internautas perceberam que o @mamilospod teve uma mudança no nome e na foto de perfil das redes sociais. O que será que vem ai? Palpites minha gente?! (publicidade) 📸👀,21444,183,CktKAfGIP6O,2967071743360958094,2022-11-08 12:48:56,12,2022-11-08,1,21627
13,Imagem,"Arthur Aguiar revelou para o Portal Metropoles que não pensa em arrumar um novo affair pois não desistiu de reconquistar Maira Cardi: “Eu não desisti de reconquistar a minha família, a minha mulher"", disse o campeão do Big Brother Brasil 22. 📸😬",312631,9196,CktBTzpo9zD,2967033488683031747,2022-11-08 11:32:56,11,2022-11-08,1,321827
14,Vídeo,"SOCORRO! 😂🎥
(vídeo: reprodução playplus / record tv)",529598,8794,Cks-PlZJnZy,2967020004356552306,2022-11-08 11:06:46,11,2022-11-08,1,538392
15,Imagem,"CONCORDAM?! 📸😬
(imagem: reprodução internet / instagram)",160847,4524,Cks8GvzORDu,2967010600963084526,2022-11-08 10:47:27,10,2022-11-08,1,165371
16,Imagem,"O Serviço Nacional de Parques dos EUA relembrou turistas e visitantes para não lamberem o ""sapo do deserto de Sonora"", também conhecido como ""sapo do rio Colorado"". Esse sapo é conhecido por secretar o composto alucinógeno chamado 5-MeO-DMT, que também é encontrado em plantas e em versão sintética. GENTE O QUE TÁ ROLANDO?! 📸😳",226875,3631,Cks56NYOzwx,2967000943276276785,2022-11-08 10:28:16,10,2022-11-08,1,230506
17,Imagem,"Preparado, o jogador @richarlison está se recuperando da lesão e decidiu mudar o visual com um corte antizica um tanto quanto ousado e inovador para dar sorte. Internautas já estão dizendo que vão aderir. E AÍ, GOSTARAM?! 📸😍",229879,5943,Cks3pvtOpP0,2966991015811650548,2022-11-08 10:08:32,10,2022-11-08,1,235822
18,Imagem,"Em entrevista a esta coluna de Splash, durante o prêmio ""Men of the Year"", o cantor, que recentemente desmentiu que estaria namorando um homem, afirma não se encaixar em rótulos ou siglas, e conta que gostaria que as pessoas se preocupassem menos com quem ele se relaciona. O QUE ACHARAM?! 📸☺️",251914,9388,Cks1aY4O_Yo,2966981164415055400,2022-11-08 09:48:58,9,2022-11-08,1,261302
19,Imagem,"Reynaldo Gianecchini fará par com Grazi Massafera em “Uma família feliz”, thriller dirigido por José Eduardo Belmonte. A história foi criada por Raphael Montes, autor da série ""Bom dia, Verônica"", da Netflix. VEM AÍ! 📸😍",136516,569,CkszDXCu5Vd,2966970785802720605,2022-11-08 09:28:21,9,2022-11-08,1,137085
20,Imagem,"Uma mulher de 30 anos foi presa pela m0rt3 de um idoso de 72 anos, após, segundo a advogada dela, se defender de um 3stupr0 por parte do homem. O caso ocorreu no município de São Lourenço, no sul de Minas Gerais. QUE ABSURDO GENTE! 📸😳",598625,17304,CksuB7IOrEc,2966948696878133532,2022-11-08 08:44:28,8,2022-11-08,1,615929
21,Imagem,"CONCORDAM?! 📸😍
(imagem: reprodução internet / instagram)",226771,2775,CksrsWeICsH,2966938418315012871,2022-11-08 08:24:02,8,2022-11-08,1,229546
22,Imagem,"EU TÔ MORTA! 📸😂
(imagem: reprodução internet / instagram)",790466,5770,CkrufCFIGPF,2966669222230385605,2022-11-07 23:29:12,23,2022-11-07,0,796236
23,Imagem,"Editor-chefe do Jornal Nacional, William Bonner acaba de se tornar o apresentador mais longevo do Jornal Nacional, superando o histórico de bancada de Cid Moreira, locutor que mais tempo havia sustentado a apresentação do principal telejornal do país. QUANTO TEMPO! 📸❤️",207836,2026,CkrdfeouV8W,2966594486101696278,2022-11-07 21:00:42,21,2022-11-07,0,209862
24,Imagem,"NÃO É POSSÍVEL! 📸😂
(imagem: reprodução internet / instagram)",413881,3650,CkrVY05uU92,2966558844600799094,2022-11-07 19:49:54,19,2022-11-07,0,417531
25,Imagem,"VCS QUEREM?! 📸🤔
(imagem: reprodução internet / instagram)",602776,67787,CkrQPI5Oi_f,2966536188639981535,2022-11-07 19:04:53,19,2022-11-07,0,670563
26,Imagem,"O cientista da computação John Elliot se debruçou na confecção de um protocolo interdisciplinar a ser aplicado em caso de contato entre humanos e alienígenas. Até então, ninguém havia se mobilizado nesse sentido, a fim de se preparar para um momento como esse. E AÍ GENTE? PREPARADOS?! 📸😳",658229,11214,CkrOAWKurIA,2966526376007086592,2022-11-07 18:45:23,18,2022-11-07,0,669443
27,Vídeo,"Chocado com esse brilho para conferir mais sobre essa técnica realizada, confira agora no instagram dela que é o @anapaulacarvalhoof. VCS VÃO AMAR! (anúncio) ❤️🎥",66534,306,CkrLmQ0rM-4,2966515787468951480,2022-11-07 18:24:48,18,2022-11-07,0,66840
28,Imagem,"O @burgerkingbr anuncia nas redes sociais um novo hambúrguer e claro, não podíamos ficar de fora. A Correspondente da Choquei foi até uma loja BK e conheceu o ‘Hexa Stacker’, versão do tradicional Stacker que conta com seis carnes e um sabor mais que suculento (publicidade). JÁ COMERAM?! 📸😍",280504,1425,CkrJWCyuxP-,2966505876799296510,2022-11-07 18:04:39,18,2022-11-07,0,281929
29,Imagem,"Em entrevista a The Guardian, o ator da série ‘Round 6’, disse que o sucesso o alegrou, mas que também lhe causou ""sentimentos conflitantes"". Isso porque a série ficcional gira em torno de pessoas endividadas que participam de um reality show, com suas vidas em jogo: “É ótimo que o público esteja consumindo conteúdo coreano no mundo inteiro"", diz Lee. ""Mas é preocupante se você pensar nos temas de Round 6 - até onde estamos dispostos a ir para acumular riqueza pessoal; até onde as pessoas são forçadas a ir."" EITAA GENTE! 📸😳",143194,579,CkrBba5Ifil,2966471061901801637,2022-11-07 16:55:29,16,2022-11-07,0,143773
30,Imagem,"CONCORDAM?! 📸🤔
(imagem: reprodução internet / instagram)",313806,8411,Ckq-CPgoQ_D,2966456137553088451,2022-11-07 16:25:50,16,2022-11-07,0,322217
31,Imagem,"O automobilista britânico e heptacampeão de Fórmula 1, Lewis Hamilton, acaba de receber o título de cidadão honorário brasileiro da câmara dos deputados, o piloto disse amar o Brasil e agradeceu a honra, em seu discurso. MARAVILHOSO NÉ?! 📸😍",120097,621,Ckq3c3TIWht,2966427180657109101,2022-11-07 15:28:18,15,2022-11-07,0,120718
32,Imagem,"Devido o sucesso de “Dahmer: Um C4nib4l Americano”, a Netflix confirmou que irá expandir a franquia “Monstro” com mais duas temporadas focadas em cr1minosos que chocaram a sociedade. E AÍ, O QUE VCS ACHARAM?! 📸🤔",256220,1835,Ckqw39Aot7W,2966398255889571542,2022-11-07 14:30:50,14,2022-11-07,0,258055
33,Imagem,LINK NO STORY! 🚨,65339,0,CkqtUORoBrs,2966382606387518188,2022-11-07 13:59:44,13,2022-11-07,0,65339
34,Vídeo,"SOCORRO! 😂🎥
(vídeo: reprodução internet / instagram)",564593,11288,CkqqVCLP8HJ,2966369467975582153,2022-11-07 13:33:54,13,2022-11-07,0,575881
35,Imagem,"GOSTARAM?! 📸😬
(imagem: reprodução internet / instagram)",405278,11573,Ckqoz0IOF7w,2966362787103137520,2022-11-07 13:20:22,13,2022-11-07,0,416851
36,Imagem,"ANSIOSOS?! 📸🤩
(imagem: reprodução internet / instagram)",344451,1774,CkqgKEIuA-z,2966324733701263283,2022-11-07 12:04:45,12,2022-11-07,0,346225
37,Imagem,"Após baixa procura pelo IPhone 14, principalmente na sua versão Plus, a Apple decidiu reduzir a produção do celular. Inicialmente seriam fabricados 90 milhões de unidades, mas a empresa cortou a produção em 3 milhões de smartphones. EITA GENTE! 📸😱",251955,3414,Ckqdp0zuBFu,2966313722126537070,2022-11-07 11:42:53,11,2022-11-07,0,255369
38,Vídeo,Mais uma vez pilotos relataram luzes desconhecidas no céu enquanto realizavam um voo. Os registros foram feitos na região sul do Brasil e até agora não existe uma explicação para o fenômeno. Muitos internautas acreditam que se trata de um ÓVNI. O QUE ACHAM?! 🤔🎥,446367,8533,CkqaLAML0Tr,2966298409904850155,2022-11-07 11:14:30,11,2022-11-07,0,454900
39,Imagem,"Em entrevista à Folha, Raul Gazolla contou que nunca perdoou os ass4ssin0s da mulher e disse que ""o planeta amanheceu melhor, o ar mais limpo"" com a notícia da morte de Guilherme de Pádua. ""Até o bispo da igreja dele [Márcio Valadão] deu a notícia rindo. Devia ser um tormento para a igreja ter como pastor um assassino com um ego tão grande quanto seu crime"", continuou o ator. Por fim, Raul disse que precisamos agradecer um mundo sem o ass4ss1no: ""Vamos seguir em frente e agradecer por estarmos em um mundo melhor hoje"". 📸😊",199098,2278,CkqVHq6uJuv,2966276190672296879,2022-11-07 10:28:19,10,2022-11-07,0,201376
40,Imagem,"O apresentador Roberto Justus, de 67 anos, revelou que foi diagnosticado com um câncer na bexiga durante exames de rotina. Justus explicou tudo através de um vídeo publicado no Instagram. Ele contou que o tumor maligno já foi retirado. O empresário também falou aos seguidores que fará oito sessões de quimioterapia por prevenção e ressaltou a importância de realizar exames de rotina. MELHORAS! 📸❤️",138217,1007,CkqSm3yumPe,2966265140661085150,2022-11-07 10:06:21,10,2022-11-07,0,139224
41,Imagem,"QUE MATURIDADE! 📸👏
(imagem: reprodução internet / instagram)",330365,3283,CkqPO2WuAhf,2966250295710451807,2022-11-07 09:36:52,9,2022-11-07,0,333648
42,Imagem,"Alguns internautas perceberam uma grande coincidência após a morte de Guilherme de Pádua ser anunciada na noite de ontem (6/11). A data é a mesma que a da estreia da novela que marcou o retorno de Glória Pérez há exatos 27 anos, após a perda da filha. O nome da trama era “Explode Coração” e Guilherme morreu vítima de um infarto fulminante. MEU DEUS! 📸😳",302669,3818,CkqLjjsuvEa,2966234126601613594,2022-11-07 09:04:44,9,2022-11-07,0,306487
43,Imagem,"A escritora do livro, que deu origem ao desenho, revelou que a história é baseada em uma ursa de verdade, do zoológico de Londres, e explicou que a “Pooh” original sempre foi fêmea. E AÍ, VCS SABIAM?! 📸😱",371068,4555,CkqHHEAOi3s,2966214576237587948,2022-11-07 08:25:54,8,2022-11-07,0,375623
44,Vídeo,"QUE DOR! 🥺🎥
(vídeo: reprodução globoplay / rede globo)",726783,6719,CkpSoRlN2-d,2965983762094452637,2022-11-07 00:47:40,0,2022-11-07,0,733502
45,Imagem,"URGENTE: Morre aos 53 anos, o ex-ator e atual pastor batista, Guilherme de Pádua, vítima de um infarto, em Belo Horizonte. A informação foi confirmada em uma live feita pelo pastor Márcio Valadão, da Igreja Batista da Lagoinha! 📸😱",604950,25562,CkpGCZfOa2s,2965928382685621676,2022-11-06 22:57:17,22,2022-11-06,6,630512
46,Imagem,"Na TV, Marcelo Queiroga pede que mães, pais e responsáveis levem os filhos para vacinar contra a poliomielite. ""A taxa de vacinação ainda está inferior a 70%. A meta é imunizar 90% das crianças abaixo de 5 anos. As vacinas estão disponíveis nos postos. Faço um apelo"", disse ele. VACINEM-SE! 📸💉",373308,2944,Cko4dKqOlen,2965868649538803623,2022-11-06 20:58:36,20,2022-11-06,6,376252
47,Imagem,"GOSTARAM?! 📸🖤
(imagem: reprodução internet / instagram)",181946,5297,Cko2k0yu43u,2965860379721960942,2022-11-06 20:42:10,20,2022-11-06,6,187243
48,Vídeo,"SOCORRO! 😂🎬
(vídeo: reprodução internet / instagram)",356162,1113,Cko0S91LOnG,2965850356383017414,2022-11-06 20:22:31,20,2022-11-06,6,357275
49,Imagem,"De acordo com o jornal a Folha de São Paulo, pessoas sem religião devem ultrapassar católicos e protestantes no Brasil. Perda de relevância espiritual e descompasso com tendências hegemônicas influenciam declínio de religiões no Ocidente. EITA GENTE! 📸😬",270071,4292,Ckow2zgugiA,2965835227017644160,2022-11-06 19:52:12,19,2022-11-06,6,274363
50,Imagem,"VOCÊS QUEREM?! 📸😍
(imagem: reprodução internet / instagram)",227036,17149,CkouWbQupDT,2965824205863162067,2022-11-06 19:30:18,19,2022-11-06,6,244185
51,Imagem,"O piloto de Fórmula 1, Lewis Hamilton, está prestes a chegar ao Brasil e, em sua primeira parada, receberá o título de cidadão honorário, em Brasília. A solenidade será realizada amanhã, em Brasília. Hamilton e o Brasil estão conectados há um longo tempo. O britânico sempre fez questão de afirmar que seu maior ídolo e inspiração é Ayrton Senna, além do capacete em homenagem ao tricampeão brasileiro usado por muitos anos em sua trajetória na F1. ELE MERECE! 📸🇧🇷",175507,866,CkoPGLbOwPq,2965686749906011114,2022-11-06 14:57:12,14,2022-11-06,6,176373
52,Vídeo,"QUE DEMAIS! 😍🎥
(vídeo: reprodução internet / instagram",532040,3264,CkoF89tOz6j,2965646534281739939,2022-11-06 13:37:54,13,2022-11-06,6,535304
53,Imagem,"O G1 fez um levantamento do valor que cada torcedor gastaria para ir ao Catar assistir a Copa e concluiu que seria necessário desembolsar, no mínimo, R$ 52.180. Só de passagens, saindo de São Paulo, o torcedor teria que pagar cerca de R$ 11 mil. A hospedagem mais simples sairia por R$ 32 mil para os 28 dias de competição. Os ingressos para assistir a todos os jogos ficariam em torno de R$ 7,7 mil e, por fim, a alimentação mais simples possível custaria R$ 1,1 mil. E AÍ, VCS VÃO?! 📸🤩",191692,1325,CkoBlJPOqYU,2965627305209800212,2022-11-06 12:59:05,12,2022-11-06,6,193017
54,Imagem,"Com muita emoção e na última manobra, Rayssa Leal se tornou a campeã mundial do Super Crown 2022, no Rio de Janeiro. PARABÉNS! 📸😍",291044,1261,Ckn8ehOOVAI,2965604859693846536,2022-11-06 12:14:30,12,2022-11-06,6,292305
55,Imagem,"COMPRARIAM?! 📸😂
(imagem: reprodução internet / instagram)",473176,10746,Ckn5I1-ucaX,2965590176014386839,2022-11-06 11:45:19,11,2022-11-06,6,483922
56,Imagem,"A nova onda começou avançando na Ásia, nos Estados Unidos e na Europa e agora acende um alerta para o Brasil, onde os diagnósticos positivos vêm crescendo nas últimas semanas. MEU DEUS! 📸😱",607791,12420,CknzDOlud_m,2965563401842581478,2022-11-06 10:52:08,10,2022-11-06,6,620211
57,Imagem,"GOSTARAM?! 📸😍
(imagem: reprodução internet / instagram)",172863,377,Cknv6LOOS-A,2965549585612222336,2022-11-06 10:24:40,10,2022-11-06,6,173240
58,Imagem,Francia comentou “interessante” em uma publicação que destacava a declaração de Selena e logo depois parou de seguir a cantora no Instagram. EITAA MINHA GENTE! 📸😳,357566,3507,Cknpxj4uLyP,2965522605340671119,2022-11-06 09:31:04,9,2022-11-06,6,361073
59,Imagem,"Segundo a biografia do Rei Charles III, quando ele tinha 40 anos, possuía um encarregado especial para cuidar de uma pelúcia sua. Esse encarregado era o guardião do urso e o único ser humano autorizado a levar o brinquedo até o antigo babá de Charles quando o mesmo precisava de reparos e novas costuras. Além dessa função, o serviçal também tinha outros trabalhos como espremer pasta de dente de Charles na escova, amarrar os sapatos e vestir o rei. O QUE ACHARAM?! 📸🤔",319699,2958,CknmlHOu1td,2965508555798174557,2022-11-06 09:03:09,9,2022-11-06,6,322657
60,Imagem,"CONCORDAM?! 📸🤔
(imagem: reprodução internet / instagram)",188393,3878,Cknhzcsuiib,2965487550690109595,2022-11-06 08:21:25,8,2022-11-06,6,192271
61,Vídeo,"Pilotos da TAM e da Azul, além de funcionários da Torre de Controle do Aeroporto Salgado Filho, relataram avistamentos de luzes no céu de Porto Alegre na noite deste sábado (5). Os diálogos entre os comandantes e a controladora de tráfego aéreo detalham os relatos. O QUE VCS ACHARAM?! 😱🎥",496124,9251,CknYSYxIvhA,2965445696307787840,2022-11-06 06:59:07,6,2022-11-06,6,505375
62,Vídeo,"QUE LINDO! 😍🎬
(vídeo: reprodução internet / instagram)",577590,4388,CkmP2o7v-pM,2965127130171566668,2022-11-05 20:25:33,20,2022-11-05,5,581978
63,Imagem,Uma cobra da espécie Dasypeltis Medici foi vista engolindo um ovo bem maior do que sua cabeça e sem quebra-lo. Essas cobras são popularmente conhecidos como “cobras comedoras de ovos”. Elas habitam no continente africano e não são venenosas. MEU DEUS! 📸😳,298407,2536,CkmGYEbu1vV,2965085446976789461,2022-11-05 19:02:31,19,2022-11-05,5,300943
64,Imagem,"Na Espanha, ativistas climáticos colaram as suas mãos em dois quadros de pinturas mundialmente famosas do mestre espanhol Francisco de Goya no museu Prado de Madri no sábado. Esse foi um dos mais recente de uma série de protestos contra obras de arte que vem acontecendo em toda Europa. O QUE ACHARAM?! 📸😬",129933,1229,Ckl9XzJOJIE,2965045845994017284,2022-11-05 17:43:50,17,2022-11-05,5,131162
65,Imagem,"Para tristeza dos fãs, o universo Invocação do Mal perdeu um derivado. Anunciado em 2017, o filme do Homem Torto (ou Crooked Man), não será mais produzido, e quem diz é o produtor e padrinho da franquia, James Wan. VOCÊS QUERIAM?! 📸🤔",352200,3111,Ckl5yAZuEM8,2965030054749815612,2022-11-05 17:12:28,17,2022-11-05,5,355311
66,Imagem,"A constatação foi feita por cientistas na Universidade Chinesa de Hong Kong, e da Universidade de Stanford, nos Estados Unidos, e reforça a importância de dar atenção também ao envelhecimento psicológico. Os cientistas chegaram à conclusão de que é preciso viver em um ambiente psicologicamente positivo para ter uma longevidade saudável, além de não estar sozinho no decorrer dos anos. CHOCADO! 📸😳",344992,2615,Ckl3aOFOHCF,2965019624077815941,2022-11-05 16:51:44,16,2022-11-05,5,347607
67,Coleção,"A dupla sertaneja Maiara e Maraísa publicam uma linda homenagem a cantora Marília Mendonça. No texto (arraste pro lado e veja), elas expressam o quanto Marília fez parte da história delas e a saudade imensa que ela deixa para elas. EMOCIONANTE! 📸❤️",339301,1000,Ckl1G2CuxM0,2965009496503161652,2022-11-05 16:31:37,16,2022-11-05,5,340301
68,Imagem,"A atriz da Globo, Jade Picon, abriu na noite de ontem uma live para rebater críticas que vinha recebendo sobre seu papel em Travessia e o seu irmão Leo Picon comentou: “Se tivesse entrado no teatro quando falei pra você entrar não tava passando por isso”. E AÍ GENTE, FÃ OU HATER?! 📸😂",506594,5538,CklxeeJOlET,2964993527923757331,2022-11-05 15:59:53,15,2022-11-05,5,512132
69,Vídeo,"A nova música da @yasminsantosoficial, #QueroVerSeDefender, mexe com força no coração e coloca entre quatro paredes o macho que diz que não tava falando com outra, mas não dá pra se defender. O sucesso já está disponível em todas as plataformas e já está no topo das paradas digitais. EU AMEI E VCS?! 😍🎬",111438,350,CkluoF9LHVT,2964980995006952787,2022-11-05 15:35:29,15,2022-11-05,5,111788
