,tipo,descricao,likes,comentarios,shortcode,id,time,hora,dia,semana,inter
0,Imagem,"PERSEGUIÇÃO ⭐ Em Casca, no interior do Rio Grande do Sul, apoiadores do presidente Jair Bolsonaro (PL) estão defendendo que empresários que supostamente tenham votado em Luiz Inácio Lula da Silva (PT) identifiquem os próprios estabelecimentos com estrelas vermelhas nas fachadas.

A ideia remete ao boicote a estabelecimentos de judeus promovido pelo nazismo na Alemanha e está sendo difundida nas redes sociais e grupos de WhatsApp. Além de um modelo de estrela com a sigla do PT, estão sendo repassadas na cidade listas com os nomes dos empresários que, no entendimento dos bolsonaristas, teriam votado no ex-presidente.

O caso chegou ao Ministério Público do Rio Grande do Sul, que está analisando a denúncia na promotoria eleitoral. Veja mais no #LinkDaBio (Foto: Felipe Rau/Estadão)",13955,1644,CktgZsPs2nr,2967170232490355179,2022-11-08 16:04:37,16,2022-11-08,1,15599
1,Imagem,"PONTO ⏰  Nove dias após a derrota no segundo turno para Luiz Inácio Lula da Silva (PT), o presidente Jair Bolsonaro (PL) teve desde então cinco horas e meia de compromissos oficiais anotados em sua agenda. Contando somente os dias úteis transcorridos após o pleito de 30 de outubro, a média foi de uma hora e seis minutos de trabalho por dia.

Presidente tem optado por permanecer a maior parte do tempo no Palácio da Alvorada, sem publicações nas redes sociais. Veja os detalhes da agenda presidencial no #LinkDaBio (Foto: Wilton Junior/Estadão)",32122,2883,CktUBKGM3D1,2967115769998176501,2022-11-08 14:16:24,14,2022-11-08,1,35005
2,Imagem,"TEMPO LIMITADO 🛍 A varejista chinesa Shein vai inaugurar uma loja em formato pop-up - ou seja, temporariamente - em São Paulo a partir deste fim de semana. O local estará aberto ao público a partir de sábado, 12, e funcionará até o dia 16 de novembro em um shopping da zona sul da cidade. Segundo a marca de roupas e acessórios, a unidade será a primeira que oferecerá vendas físicas no Brasil.

O local terá 265 metros quadrados e contará com ambientes “instagramáveis”, idealizados para que clientes tirem fotos e postem em suas redes sociais. Segundo a Shein Brasil, os clientes terão cerca de 11 mil peças disponíveis e ainda ganharão 15% de desconto para compras no local ou pelo aplicativo.

Confira a reportagem completa com detalhes e mais fotos no #LinkDaBio",41151,507,CktJ26vPOmZ,2967071085846915481,2022-11-08 12:47:37,12,2022-11-08,1,41658
3,Imagem,"PESANDO NO BOLSO ⛽️ O preço da gasolina subiu nos postos de combustível de todo o País pela quarta semana seguida, informou a Agência Nacional do Petróleo, Gás Natural e Biocombustíveis (ANP). O aumento desta segunda-feira, 7, vem apesar de a Petrobras manter o preço do combustível congelado há 66 dias. Na semana de 30 de outubro a 5 de novembro, a gasolina teve alta de 1,4%, chegando a um preço médio de R$ 4,98 por litro, ante R$ 4,91 da semana anterior.

O preço do litro do diesel S10 também voltou a subir, desta vez 0,4% para R$ 6,71, entre os dias 30 de outubro e 5 de novembro. O valor têm oscilado desde meados de outubro. Saiba detalhes e veja possíveis explicações no #LinkDaBio",15517,1002,Cks8kYSsJ__,2967012637305511935,2022-11-08 10:51:30,10,2022-11-08,1,16519
4,Imagem,"EDITORIAL: É preciso pacificar o País, e os Três Poderes têm o dever de colaborar nessa empreitada. A contribuição de cada um deles se concretiza no fiel cumprimento dos respectivos deveres institucionais. É fonte de paz e de tranquilidade saber que cada órgão público atua dentro de suas competências, sem omissões e sem extrapolações. Deve-se louvar a atuação nos últimos anos do STF. Com independência institucional, a Corte soube defender a Constituição e o Estado Democrático de Direito de ataques e ameaças nestes tempos conturbados. Quando muitos se omitiram, a Corte agiu de forma atenta e responsável. Certamente, houve equívocos e exageros, mas o STF cumpriu sua função mais importante. A despeito de todas as tentativas antirrepublicanas e antidemocráticas, a Constituição prevaleceu.

Nos próximos anos, o País continuará necessitando muito do Supremo. A defesa da Constituição é tarefa permanente. Mas existe agora uma demanda muito especial para o STF, relacionada diretamente com a necessária pacificação do País: é preciso pôr fim aos inquéritos referentes à defesa do Estado Democrático de Direito e de suas instituições, dando a cada um deles o devido encaminhamento legal. Em momentos de não pequena confusão, as investigações ajudaram a recordar que, no Estado Democrático de Direito, os atos - em concreto, os ataques e as ameaças contra o regime democrático - têm consequências jurídicas. Não é um mundo sem lei.

Agora, precisamente para reafirmar que há lei no País e que ela deve ser cumprida, esses inquéritos precisam ter fim, com o oferecimento da denúncia ou o arquivamento da investigação. No Estado Democrático de Direito, não há espaço para manter inquéritos criminais abertos indefinidamente. Além de objeto definido, toda investigação tem início, meio e fim. Além de cumprir a lei, a finalização desse trabalho será ocasião de arrefecer os ânimos da população. É um modo concreto de o STF prestar contas à sociedade de tudo o que se fez nesses inquéritos, eliminando eventuais dúvidas e tensões que possam existir sobre esses casos. E, se alguém ousar reiniciar os ataques, é só instaurar um novo inquérito. 
Leia completo no #LinkdaBio. Foto: Wilson Pedrosa/Estadão",2944,438,CksmTkos3Fm,2966914725305348454,2022-11-08 07:36:58,7,2022-11-08,1,3382
5,Imagem,"🌱 AO VIVO PATROCINADO por @bayerbrasil 

O Summit Agronegócio deste ano tem como tema principal ‘Desafios à frente: o que o agronegócio brasileiro prepara para os próximos anos nas exportações, no mercado global, agricultura de baixo carbono e políticas agrícolas’.

➡️ Acompanhe o painel complementar ‘Os próximos passos do agro 5.0’ nesta terça, 8, às 12h20 ; inscreva-se gratuitamente https://bit.ly/3zoRodX",165,5,CksbUniMZQl,2966866418625254437,2022-11-08 06:00:59,6,2022-11-08,1,170
6,Imagem,"Esta é a #CapaDoDia do Estadão desta terça-feira, 8 de novembro. Leia mais em www.estadao.com.br📰",653,74,CksPNzmIawx,2966813173981752369,2022-11-08 04:15:12,4,2022-11-08,1,727
7,Imagem,"SELEÇÃO BRASILEIRA⚽️ ""Tite está seguro com Daniel Alves, talvez o único nome de sua lista para a Copa a torcer o nariz do torcedor"", escreve o colunista Robson Morelli. ""O treinador não titubeou ao mostrar a convocação da seleção brasileira para a Copa do Mundo nesta segunda-feira. Teve de se explicar sobre o lateral-direito. Não conseguiu. Ninguém entendeu nada. Ninguém também esperava Dani na relação. Pode ter sido seu maior equívoco olhando para todos os aspectos: físico, técnico e tático. Mas não de grupo.""

""Daniel pode ter sido uma carta no colete para que o Brasil tenha Neymar como nunca antes em Copas. Ambos se dão muito bem. Daniel é capaz de falar para o jogador do PSG o que nenhum outro da comissão técnica teve coragem na Copa passada. Na Rússia, ninguém peitou as bobagens e os caprichos do garoto.""

""Olho para Daniel Alves e o vejo mais nesta condição do que propriamente de vestir a camisa amarela e fazer a diferença nas partidas da seleção. Tenho dúvidas até se ele vai jogar nas três primeiras apresentações da fase de grupo, contra Sérvia, Suíça e Camarões. Aos 39 anos, o tempo de Dani passou. Vai ser o brasileiro mais velho a ser chamado para jogar uma Copa. Nunca um time do México teve jogador chamado para a seleção em Mundiais. A escolha de Dani quebra todos os protocolos esportivos."" Leia mais no #LinkDaBio (📸 Lucas Figueiredo/CBF)",7046,307,CkrultUtrb_,2966669680979654399,2022-11-07 23:30:06,23,2022-11-07,0,7353
8,Imagem,"AO VIVO PATROCINADO por @croplifebr 

O Summit Agronegócio 2022 já começou e tem como tema principal ‘Desafios à frente: o que o agronegócio brasileiro prepara para os próximos anos nas exportações, no mercado global, agricultura de baixo carbono e políticas agrícolas’.

Acompanhe o painel complementar ‘Tecnologia para produção de alimentos’ nesta terça, 8, às 11h20 ; inscreva-se gratuitamente https://bit.ly/3zoRodX",246,1,CkroWuUru7g,2966642262981668576,2022-11-07 22:35:38,22,2022-11-07,0,247
9,Imagem,"PRESO ❌ O ex-vereador do Rio Gabriel Monteiro (PL) teve sua prisão preventiva decretada e se entregou à polícia no final da tarde desta segunda-feira, 7. A informação foi confirmada por um dos advogados que fazem a sua defesa, Sandro Figueredo.

Monteiro gravou um vídeo em seu Instagram pouco antes de se entregar. “Fiquei sabendo pela minha advogada que foi decretada a minha prisão preventiva por um crime pelo qual não fui escutado na delegacia”, diz o ex-parlamentar. Ele teria sido acusado de um novo caso de estupro.

O ex-policial militar teve seu mandato como vereador cassado por quebra de decoro parlamentar. Ele é acusado de filmar e divulgar relações sexuais com uma adolescente, assédio moral e sexual contra assessores e de forjar situações para gerar conteúdos para as suas redes sociais. Ele responde na Justiça por esses crimes. Leia mais no #LinkDaBio 

📷 Wilton Junior/Estadão",20565,600,CkrbzfvrDQH,2966587065588528135,2022-11-07 20:45:58,20,2022-11-07,0,21165
