,tipo,descricao,likes,comentarios,shortcode,id,time,hora,dia,semana,inter
0,Imagem,"Um turista brasileiro morreu, nesta quarta-feira (2), em Ushuaia, cidade turística da Argentina que pertence ao arquipélago da Terra do Fogo, após ter sido atingido pela queda de uma placa de gelo que se desprendeu do alto de uma caverna. Uma equipe local de brigadistas afirma que o trabalho de resgate durou mais de 10 horas e envolveu mais de 40 homens. Ele estava acompanhado de outras pessoas, que foram retiradas do local com vida. A caverna estava interditada para visitações, justamente por conta de riscos à vida. Um vídeo registrou o momento da tragédia. Veja no link na bio #JornalOGlobo",9239,109,Ckglnw2gs-F,2963534015044439941,2022-11-03 15:40:06,15,2022-11-03,3,9348
1,Imagem,"O Enem está chegando! 

Prepare-se com a ajuda de dois aulões com as principais dicas e revisões para a prova mais importante do ano. 

No dia 10 de novembro, confira tudo o que você precisa saber para o exame de Redação, Linguagens e Ciências Humanas. No dia 17, você vai conhecer as dicas imperdíveis para a prova de Matemática e Ciências da Natureza. 

É a partir das 14h30, nas redes do @jornaloglobo
Compartilhe com a galera!",497,3,CkgkjgmrpA9,2963529324674584637,2022-11-03 15:30:47,15,2022-11-03,3,500
2,Imagem,"O senador Humberto Costa (PT) informou que fará uma representação no Ministério Público do Distrito Federal e Territórios (MPDFT) contra Nelson Piquet. O ex-piloto participou de um dos atos antidemocráticos que não reconhecem a vitória de Lula nas urnas. Em um vídeo ao lado de um apoiador, ele defendeu a morte de Lula, que derrotou o seu candidato Jair Bolsonaro, a quem doou R$ 501 mil para a campanha. Leia mais no link na bio #JornalOGlobo",71899,7546,CkghCgTtSLB,2963513862473982657,2022-11-03 15:00:03,15,2022-11-03,3,79445
3,Imagem,"DEMOCRACIA | O presidente do Tribunal Superior Eleitoral (TSE), ministro Alexandre de Moraes, fez nesta quinta-feira um balanço das eleições e disse que quem não está aceitando o resultado das eleições, com ""movimentos ilícitos e criminosos"", será devidamente responsabilizado. A declaração ocorreu na primeira sessão de julgamentos da Corte após o segundo turno. O presidente do TSE avaliou que o alto comparecimento às urnas no domingo demonstrou que a população brasileira confia nas urnas eletrônicas e no sistema eleitoral. Ainda em sua fala, Moraes afirmou que o presidente e o vice-presidente eleitos serão diplomados até 19 de dezembro, e tomarão posse em primeiro de janeiro. Segundo o presidente do TSE, ""isso é democracia"". Leia mais no link na bio #JornalOGlobo",30830,1947,CkgbUXHN8qI,2963488701272279688,2022-11-03 14:10:04,14,2022-11-03,3,32777
4,Vídeo,"No quarto e último episódio da série Inovação que Transforma, vamos falar sobre inovação colaborativa, que é a busca por soluções em conjunto com parceiros, potencializando resultados e indo mais além.
Saiba o que Marcelo Cantu, responsável pelo time de Pesquisa & Desenvolvimento e Inovação da América Latina da Dow, e Alexandre Botelho, diretor de Compras, Inovação e Sustentabilidade da Avery Dennison têm a dizer sobre o assunto e descubra como a inovação colaborativa nas grandes empresas está mais presente do no seu dia a dia do que você imagina.

Ouça o episódio completo em: https://open.spotify.com/episode/3gu1CfFKMN80Zg6bN9Iubi",518,17,CkgZNo3D9K1,2963479443199218357,2022-11-03 13:52:26,13,2022-11-03,3,535
5,Imagem,"A primeira reunião da equipe do presidente eleito Luiz Inácio Lula da Silva (PT) com o relator do orçamento, Marcelo Castro (MDB-PI) indicou a necessidade de uma Proposta de Emenda Constitucional (PEC) para fazer frente a despesas urgentes que não estão contempladas no Orçamento proposto pelo governo de Jair Bolsonaro. A decisão foi tomada em reunião com a presença do vice-presidente eleito, Geraldo Alckmin (PSB), o senador eleito Wellington Dias (PT-PI), a presidente do PT, Gleisi Hoffmann, e o ex-ministro Aloísio Mercadante. O vice-presidente eleito, Geraldo Alckmin, afirmou que a grande preocupação é garantir o pagamento mensal de R$ 600 para o Bolsa Família em 2023. O valor de R$ 600 do atual Auxílio Brasil só está garantido até dezembro e, pela proposta orçamentária de Bolsonaro, o valor do benefício cairia para R$ 400 em janeiro. Leia mais no link na bio #JornalOGlobo",35167,3016,CkgUzTbttYi,2963460041299383842,2022-11-03 13:13:07,13,2022-11-03,3,38183
6,Imagem,"CIÊNCIA | Um grupo de alunas da Escola Sesi de Gravataí, no Rio Grande do Sul, desenvolveu um copo que conta com um reagente químico capaz de identificar em segundos a presença em bebidas do ácido gama-hidroxibutírico (GHB), conhecido popularmente como o ""Boa noite Cinderela"", ou ""a droga do estupro"", que é usado por criminosos, sobretudo em festas e baladas, para cometer crimes sexuais. O item foi criado pelas estudantes Natally Souza, de 16 anos, Giovanna Freitas, Giovanna Moraes e Nicolli Marques, de 17, que dizem ter se preocupado com a quantidade de casos de violência contra a mulher com o uso da substância que estavam sendo veiculados na mídia. Elas utilizaram um reagente químico, que ao entrar em contato com a droga, faz com que o copo mude para uma cor avermelhada, alertando imediatamente sobre o envenenamento. Saiba mais no link na bio #JornalOGlobo 
Foto: Divulgação",95111,1821,CkgOAyYtrNF,2963430181562659653,2022-11-03 12:13:48,12,2022-11-03,3,96932
7,Imagem,"[via blog do #AncelmoGois] Em sentença publicada na segunda-feira pelo juiz federal Décio Gabriel Gimenez, da 3ª Vara Federal de Santos, o atacante Neymar, do PSG e da seleção brasileira, e empresas ligadas ao jogador conseguiram uma vitória parcial na disputa contra a Fazenda Nacional sobre impostos pendentes. Neymar luta desde 2019 contra o Fisco para reduzir a cobrança de Imposto de Renda relativo ao período de janeiro de 2011 e dezembro de 2013. À época, a Fazenda constatou evasão total de R$ 188 milhões - somados o valor original de R$ 63 milhões, mais multa de 150%. Leia mais no link na bio #JornalOGlobo",26785,2804,CkgI3m9teJ2,2963407560590615158,2022-11-03 11:28:51,11,2022-11-03,3,29589
8,Imagem,"ATOS ANTIDEMOCRÁTICOS | A Polícia Rodoviária Federal (PRF) atualizou, na manhã desta quinta-feira, a situação dos bloqueios nas rodovias federais do país feitos por apoiadores do presidente Jair Bolsonaro. De acordo com o perfil da corporação no Twitter, as interdições caíram de 86 para 74 nas últimas três horas. Agora, são 61 interdições parciais e 13 bloqueios que impedem totalmente o trânsito nas vias. Os atos se concentram em Mato Grosso, Santa Catarina, Pará e Roraima. Os bloqueios em rodovias têm sido feitos desde a noite de domingo, em protesto ao resultado da eleição presidencial, vencida por Luiz Inácio Lula da Silva (PT). A desmobilização ocorre um dia após o presidente Jair Bolsonaro gravar um vídeo, publicado na noite desta quarta-feira, solicitando que seus apoiadores liberem as rodovias federais que estão sendo ocupadas. Leia maie no link na bio #JornalOGlobo 

Foto: Evandro Leal / Agência Enquadrar / Agência O Globo",9723,669,Ckf-3HNNCgr,2963363546025699371,2022-11-03 10:01:24,10,2022-11-03,3,10392
9,Imagem,"Estreia nesta sexta-feira (4) a série documental ""Flordelis: questiona ou adora"", que trata dos rumos da investigação do assassinato do pastor Anderson do Carmo, marido da ex-deputada e pastora Flordelis, e dos meandros da família dela, composta por 55 filhos, entre biológicos, adotivos e afetivos.  A produção da Globoplay em parceria com O GLOBO tem seis capítulos e reúne depoimentos de investigadores, filhos e netos do casal, testemunhas, jornalistas, o estrategista político e a advogada de Flordelis. Saiba mais no link na bio #JornalOGlobo",8367,281,Ckf4t07tRKu,2963336519650448046,2022-11-03 09:07:42,9,2022-11-03,3,8648
