,tipo,descricao,likes,comentarios,shortcode,id,time,hora,dia,semana,inter
0,Vídeo,"Os economistas Persio Arida e André Lara Resende vão participar formalmente da equipe de transição do presidente eleito Luiz Inácio Lula da Silva (PT).

A senadora Simone Tebet (MDB-MS) também participará do grupo que vai fazer o processo de troca entre governos, colaborando na área de desenvolvimento social. Ela se reuniu com o vice-presidente eleito Geraldo Alckmin (PSB) nesta terça-feira (8). 

➡️ Leia mais em uol.com.br

#uol #uolnotícias #alckmin #lula #políticos",1872,174,Cktk-ECj4eE,2967190324126910340,2022-11-08 16:44:56,16,2022-11-08,1,2046
1,Imagem,"🌎 A COPA TÁ CHEGANDO! 

Qual a sua memória de Copa do Mundo mais antiga? 

O embala neném do Bebeto? Acordar de madrugada pra ver o penta? Cabeçada do Zidane? 

Conta aqui pra gente!

📷 Mark Leech/Getty Images

#UOL #UOLEsporte #Qatar2022 #CopaDoMundo #brasil #football #futebol #soccer",1657,128,Cktf8-yuwUC,2967168259540583682,2022-11-08 16:00:41,16,2022-11-08,1,1785
2,Vídeo,"A deputada federal e presidente do PT, Gleisi Hoffmann, foi ameaçada por um homem enquanto estava em um restaurante da Asa Sul, área nobre de Brasília, no último domingo (6) por volta das 16h30. Ela estava acompanhada de outros parlamentares do PT. 

Em vídeo que circula nas redes sociais, um homem usando uma camisa verde escrito ""Brasil"" aponta a câmera de um celular enquanto diz: ""O malandro está de volta"". Ele empurra a pessoa que começa a filmar o tumulto e é impedido por funcionários do restaurante de se aproximar da mesa onde está Gleisi.

➡️ Leia a matéria completa em #UOL! 

📹 Reprodução Redes Sociais

#uol #uolnoticias #gleisihoffmann #pt #lula",12133,2601,CktSTlNDhCS,2967108239961755794,2022-11-08 14:02:00,14,2022-11-08,1,14734
3,Vídeo,"O ex-volante @cesarsampaioofficial, um dos auxiliares técnicos de Tite na Seleção Brasileira, teve seu DNA analisado no projeto Origens e classificou a experiência como ""mais um sentido na vida"".

""Com o resultado deste exame, tenho um ponto de partida para buscar as minhas origens. Agora, tenho como começar a procurar as minhas raízes"", disse.

➡️ Leia a entrevista completa em uol.com.br/ecoa

Patrocínio: @genera.lab

#UOL #Ecoa #Ecoa_UOL #Origens #CanalUOL #MovimentoNegro",151,1,CktPSX_O0Op,2967094962912183209,2022-11-08 13:35:37,13,2022-11-08,1,152
4,Imagem,"📝 Reportagem do @jamilchade_oficial:

""Entre a eleição e a posse, no dia 1º de janeiro, a equipe de Lula irá manter contatos e proliferar encontros com autoridades estrangeiras para blindar a transição. O temor é de que os protestos bolsonaristas tentem impedir a posse. Neste sentido, Lula usará sua visita à Conferência do Clima, no Egito, na semana que vem, para também tratar da posse. Entre os possíveis encontros está uma reunião com Joe Biden e Antônio Guterres, secretário-geral da ONU.

Mas o trabalho da comunidade internacional começou há meses. O primeiro passo concreto veio do governo de Joe Biden, que via no bolsonarismo uma repetição das estratégias de Donald Trump de minar a democracia. De fato, o brasileiro foi um dos raros lideres internacionais a repetir o discurso do republicano de que a eleição nos EUA tinha sido fraudada. Ele foi um dos últimos a reconhecer a vitória de Biden, enquanto seu então chanceler Ernesto Araújo emitiu sinais contraditórios sobre os eventos no Capitólio.""

📲 Leia mais em uol.com/noticias e siga @uolnoticias para ficar por dentro das principais notícias e bastidores da política

📷 Ricardo Stuckert

#uol #uolnotícias #eleições2022 #democracia #posse #política #lula",11222,845,CktLVmByxKA,2967077591959933568,2022-11-08 13:00:33,13,2022-11-08,1,12067
5,Vídeo,"O senador eleito Flávio Dino (PSB) afirmou que vai participar da equipe de transição de governo de Luiz Inácio Lula da Silva, liderada pelo vice-presidente Geraldo Alckmin (PSB), para coordenar a área de Justiça e Segurança Pública. Ele afirmou que sua participação tem como objetivo remover o que chamou de ""entulho bolsonarista"".

➡️ Leia a matéria completa em #UOL! 

#uol #uolnoticias #uolconfere #lula #flaviodino",11439,863,CktIZEjD46G,2967064636749221510,2022-11-08 12:35:48,12,2022-11-08,1,12302
6,Vídeo,"Levantamento do Instituto Todos pela Saúde (ITpS) mostra que a taxa de exames positivos para a doença em laboratórios particulares saltou quase 600% em menos de um mês. 

O aumento de casos foi registrado principalmente no Sudeste e Centro-Oeste do país, com destaque para São Paulo, Rio de Janeiro e Mato Grosso.

➡️ Leia mais em uol.com.br

#uol #uolnotícias #covid19 #saúde #uolnews",13243,1067,CktFQuIj84I,2967050868786974216,2022-11-08 12:08:04,12,2022-11-08,1,14310
7,Imagem,"🇧🇷 CAMISA PRA TODOS

A CBF promove, desde o último domingo (6), uma campanha pra dissociar a camisa da seleção brasileira de manifestações políticas. Nos últimos anos, o uniforme tem sido usado como símbolo de apoiadores do presidente Jair Bolsonaro (PL). 

Durante a cerimônia de convocação dos jogadores pra Copa, na segunda (7), a entidade passou um desses vídeos. Como disse o presidente da entidade, Ednaldo Rodrigues, “é pra mostrar que todos podem se sentir bem a com a camisa da seleção”. 

A CBF já pensava em lançar uma campanha como essa pra atrair torcedores de outros espectros políticos antes, mas viu que não isso não adiantaria durante as eleições. Por isso, esperaram o fim do segundo turno pra lançar os vídeos. 

A diretoria da CBF também acha que não é só uma campanha publicitária que vai resolver, mas que isso vai se dissipando com o tempo. 

📷 Divulgação/Nike

#UOL #UOLEsporte #selecaobrasileira #Qatar2022",20907,2247,Cks-Pnhred5,2967020006647129977,2022-11-08 11:06:08,11,2022-11-08,1,23154
8,Coleção,"Por onde anda Paula Nogueira Thomaz, que foi presa por ser cúmplice na morte de Daniella Perez? 

Sim, essa pergunta não quer calar! E nós investigamos as últimas notícias sobre a ex de Guilherme de Pádua, morto no último domingo (6), vítima de um infarto. 

Arraste para o lado 👉

#uol #uoloficial #splash #splashuol #daniellaperez #gloriaperez #guilhermedepadua",13494,807,Cks9n9Vy0_z,2967017281290981363,2022-11-08 11:00:43,11,2022-11-08,1,14301
9,Imagem,"O empresário Junior Peixoto, 41, ganhou uma fama inesperada na semana passada. Participante de um ato antidemocrático que rejeita a vitória de Luiz Inácio Lula da Silva (PT) sobre Jair Bolsonaro (PL), sua imagem agarrado a um caminhão em movimento viralizou nas redes sociais.Desde então, Peixoto ficou conhecido como ""patriota do caminhão"". E virou meme.

Em entrevista à @folhadesp nesta segunda (7), ele afirma que se sente exposto com a repercussão das imagens. Questionado, disse que prefere não comentar temas como o resultado das eleições 2022, que resultaram na vitória de Lula.

“Sou eleitor de Bolsonaro, se houver a oportunidade de ele pleitear uma campanha novamente, eu votarei nele [...] porque ele me representa. Mas o movimento, em si, deixou de ser por Bolsonaro. O movimento em si é pelo Brasil"", afirma.

Peixoto afirma que se pendurou no caminhão como uma forma de defesa, enquanto duas faixas da via eram desobstruídas pelos manifestantes e o veículo tentava passar. Ele diz que gesticulou pedindo paciência, mas o caminhão acelerou. Segundo Peixoto, como ele já estava com as mãos levantadas e gesticulando, a reação imediata foi segurar o limpador do para-brisas.

🔗 Leia a reportagem completa da Folha no link da bio de @UOLNoticias 

📷 Leo Caldas/Folhapress

#uol #uolnoticias #noticias #politica #patriotadocaminhao #bolsonaristas",9443,3718,Cks2vRSI6W4,2966986997415257528,2022-11-08 10:00:33,10,2022-11-08,1,13161
