,Unnamed: 0,tipo,descricao,likes,comentarios,shortcode,id,time,hora,dia,semana,inter,Nome
750,0,Vídeo,"VOCÊS ACREDITAM?! 😱🎥
(vídeo: reprodução internet / instagram)",56730,1197,Ckt6mE8sJJo,2967285432857956968,2022-11-08 19:53:58,19,2022-11-08,1,57927,Choquei
751,1,Imagem,"ELE MERECE! 📸😍
(imagem: reprodução internet / instagram)",79698,864,Ckt0d08O6gp,2967258477635545129,2022-11-08 18:59:56,18,2022-11-08,1,80562,Choquei
752,2,Imagem,"JÁ ASSISTIRAM?! 📸🤩
(imagem: reprodução internet / instagram)",183687,2611,CktwUdCODKP,2967240241304842895,2022-11-08 18:23:42,18,2022-11-08,1,186298,Choquei
753,3,Vídeo,"MEU DEUS! 😭🎥
(vídeo: reprodução internet / instagram)",286191,3595,CktqVCdttd5,2967213893215508345,2022-11-08 17:31:45,17,2022-11-08,1,289786,Choquei
754,4,Imagem,"Em entrevista ao ‘Drew Barrymore TV’, Millie Bobby Brown revelou seu interesse em interpretar Britney Spears em uma cinebiografia: ""Eu acho que a história dela ressoa comigo, por crescer no meio do olhar público. Eu sinto que eu poderia contar a história dela do jeito certo”. E AÍ, VCS QUEREM?! 📸😍",79069,266,CktnQR-Ob-i,2967200372130168738,2022-11-08 17:04:30,17,2022-11-08,1,79335,Choquei
601,1,Imagem,"NOVO GOVERNO 🇧🇷 • O vice-presidente eleito, Geraldo Alckmin (PSB), revelou, em coletiva nesta terça-feira (8) os nomes que estarão na equipe de transição do governo de Luiz Inácio Lula da Silva (PT). O destaque é para a área econômica, no qual estarão os economistas André Lara Resende, Guilherme Mello, Nelson Barbosa e Pérsio Arida.

Outros nomes conhecidos, como Gleisi Hoffmann, Aloisio Mercadante, Simone Tebet também integram a equipe.

Aloizio Mercadante será o coordenador dos grupos técnicos; a coordenação executiva é de Floriano Pesaro; Gleisi assume a coordenação de articulação política; e Janja da Silva, a organização de posse.

🔗 Veja mais no link da bio. #CNNBrasil #GovernoLula 
📸: Reprodução/CNN Brasil",5411,775,CktlimLD7Nj,2967192834677912419,2022-11-08 16:49:31,16,2022-11-08,1,6186,CNN Brasil
450,0,Vídeo,"Os economistas Persio Arida e André Lara Resende vão participar formalmente da equipe de transição do presidente eleito Luiz Inácio Lula da Silva (PT).

A senadora Simone Tebet (MDB-MS) também participará do grupo que vai fazer o processo de troca entre governos, colaborando na área de desenvolvimento social. Ela se reuniu com o vice-presidente eleito Geraldo Alckmin (PSB) nesta terça-feira (8). 

➡️ Leia mais em uol.com.br

#uol #uolnotícias #alckmin #lula #políticos",1872,174,Cktk-ECj4eE,2967190324126910340,2022-11-08 16:44:56,16,2022-11-08,1,2046,UOL Oficial
755,5,Vídeo,"Lava, lava, lava toda essa energia ruim! O ex-jogador Cafu criou um ritual para atrair sorte e tirar toda a zica da sua peça da sorte junto com OMO. Já deu a dica para os torcedores. Tá esperando o que para tirar a sua zica? #LavaAZica #publicidade AMEI GENTE! 😍🎬",28683,119,Cktk5ATP1i0,2967189976514517172,2022-11-08 16:44:22,16,2022-11-08,1,28802,Choquei
300,0,Imagem,"PERSEGUIÇÃO ⭐ Em Casca, no interior do Rio Grande do Sul, apoiadores do presidente Jair Bolsonaro (PL) estão defendendo que empresários que supostamente tenham votado em Luiz Inácio Lula da Silva (PT) identifiquem os próprios estabelecimentos com estrelas vermelhas nas fachadas.

A ideia remete ao boicote a estabelecimentos de judeus promovido pelo nazismo na Alemanha e está sendo difundida nas redes sociais e grupos de WhatsApp. Além de um modelo de estrela com a sigla do PT, estão sendo repassadas na cidade listas com os nomes dos empresários que, no entendimento dos bolsonaristas, teriam votado no ex-presidente.

O caso chegou ao Ministério Público do Rio Grande do Sul, que está analisando a denúncia na promotoria eleitoral. Veja mais no #LinkDaBio (Foto: Felipe Rau/Estadão)",13955,1644,CktgZsPs2nr,2967170232490355179,2022-11-08 16:04:37,16,2022-11-08,1,15599,Estadão
451,1,Imagem,"🌎 A COPA TÁ CHEGANDO! 

Qual a sua memória de Copa do Mundo mais antiga? 

O embala neném do Bebeto? Acordar de madrugada pra ver o penta? Cabeçada do Zidane? 

Conta aqui pra gente!

📷 Mark Leech/Getty Images

#UOL #UOLEsporte #Qatar2022 #CopaDoMundo #brasil #football #futebol #soccer",1657,128,Cktf8-yuwUC,2967168259540583682,2022-11-08 16:00:41,16,2022-11-08,1,1785,UOL Oficial
756,6,Imagem,"QUAL GENTE?! 📸😍
(imagem: reprodução internet / instagram)",39831,1845,CkteHFEudt0,2967160157386693492,2022-11-08 15:44:36,15,2022-11-08,1,41676,Choquei
602,2,Imagem,"VERBA A CAMINHO 💵🍃• A Alemanha vai voltar a liberar, ainda neste ano, a verba para o Fundo da Amazônia, que é responsável por destinar recursos para a preservação e monitoramento da floresta amazônica. 

Jochen Flasbarth, secretário de Estado do Ministério alemão para Cooperação e Desenvolvimento, afirmou à CNN que confia que o novo governo tomará conta e gastará o montante da “melhor maneira possível”. 

Em entrevista na COP27, em Sharm-el Sheikh, no Egito, o secretário explicou que a verba havia sido bloqueada por “falta de controle” do fundo. “Com o anúncio da eleição do presidente eleito Lula, mas também a situação legal do Brasil, decidi desbloquear o dinheiro”, disse. 

Apesar do anúncio da liberação, ainda não há um acordo oficial firmado e pontos como o valor a ser destinado, estão sendo discutidos no Egito e também com a equipe de transição de governo no Brasil. 

Flashbarth ainda antecipou que políticos alemães buscarão Lula para encontros no Egito, assim que ele chegar ao país. #CNNBrasil #COP27 #Alemanha #FlorestaAmazônica #Lula 

📸: REUTERS/Bruno Kelly",7620,891,CktdpP6P45i,2967158107437764194,2022-11-08 15:40:31,15,2022-11-08,1,8511,CNN Brasil
603,3,Vídeo,"AGORA 🚨 CNN Brasil chegou no Prime Video com coberturas fantásticas pra você, em primeira mão, sem custos adicionais! Todos os programas nacionais do maior canal de notícias do mundo estão ao vivo por aqui, dos jornais diários à programação de entretenimento da CNN.",795,27,CktcHtWut9y,2967151404545400690,2022-11-08 15:27:47,15,2022-11-08,1,822,CNN Brasil
